6.0, 5°,11°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,00:01:27:30:10:20
4.687, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:30:21:30:10:20
4.625, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:32:30:30:10:20
4.625, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:34:40:30:10:20
4.625, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:36:51:30:10:20
4.625, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:39:01:30:10:20
4.687, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:41:11:30:10:20
4.687, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:43:21:30:10:20
4.812, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:45:31:30:10:20
4.812, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:47:41:30:10:20
4.875, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:49:51:30:10:20
4.937, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:52:02:30:10:20
4.937, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:54:12:30:10:20
4.875, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:56:22:30:10:20
4.812, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,01:58:32:30:10:20
4.812, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:00:42:30:10:20
4.75, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:02:52:30:10:20
4.687, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:05:02:30:10:20
4.625, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:07:12:30:10:20
4.562, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:09:22:30:10:20
4.5, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:11:32:30:10:20
4.5, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:13:42:30:10:20
4.437, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:15:52:30:10:20
4.437, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:18:03:30:10:20
4.437, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:20:12:30:10:20
4.5, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:22:23:30:10:20
4.562, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:24:32:30:10:20
4.562, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:26:43:30:10:20
4.625, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:28:53:30:10:20
4.687, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:31:03:30:10:20
4.687, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:33:13:30:10:20
4.687, 4°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:35:23:30:10:20
4.75, 3°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:37:33:30:10:20
4.75, 3°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:39:43:30:10:20
4.75, 3°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:41:53:30:10:20
4.812, 3°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:44:03:30:10:20
4.812, 3°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:46:14:30:10:20
4.812, 3°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:48:23:30:10:20
4.812, 3°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:50:33:30:10:20
4.75, 3°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:52:43:30:10:20
4.75, 3°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:54:53:30:10:20
4.75, 3°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:57:04:30:10:20
4.75, 3°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,02:59:14:30:10:20
4.75, 3°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:01:24:30:10:20
4.75, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:03:34:30:10:20
4.75, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:05:44:30:10:20
4.75, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:07:54:30:10:20
4.75, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:10:04:30:10:20
4.812, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:12:14:30:10:20
4.75, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:14:25:30:10:20
4.75, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:16:35:30:10:20
4.687, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:18:45:30:10:20
4.687, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:20:54:30:10:20
4.75, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:23:05:30:10:20
4.687, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:25:15:30:10:20
4.687, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:27:25:30:10:20
4.625, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:29:35:30:10:20
4.625, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:31:45:30:10:20
4.625, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:33:56:30:10:20
4.625, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:36:06:30:10:20
4.625, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:38:16:30:10:20
4.562, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:40:26:30:10:20
4.562, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:42:36:30:10:20
4.562, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:44:46:30:10:20
4.562, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:46:56:30:10:20
4.625, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:49:06:30:10:20
4.687, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:51:16:30:10:20
4.75, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:53:27:30:10:20
4.812, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:55:37:30:10:20
4.875, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:57:47:30:10:20
4.937, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,03:59:57:30:10:20
4.937, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:02:07:30:10:20
4.875, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:04:17:30:10:20
4.875, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:06:27:30:10:20
4.812, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:08:37:30:10:20
4.812, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:10:47:30:10:20
4.812, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:12:58:30:10:20
4.875, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:15:08:30:10:20
4.937, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:17:18:30:10:20
4.937, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:19:28:30:10:20
4.937, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:21:38:30:10:20
4.875, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:23:48:30:10:20
4.812, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:25:58:30:10:20
4.812, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:28:08:30:10:20
4.812, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:30:18:30:10:20
4.812, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:32:28:30:10:20
4.75, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:34:38:30:10:20
4.812, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:36:48:30:10:20
4.812, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:38:58:30:10:20
4.875, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:41:09:30:10:20
4.75, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:43:19:30:10:20
4.687, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:45:29:30:10:20
4.687, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:47:39:30:10:20
4.625, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:49:49:30:10:20
4.625, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:51:59:30:10:20
4.687, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:54:09:30:10:20
4.625, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:56:19:30:10:20
4.687, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,04:58:29:30:10:20
4.687, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:00:40:30:10:20
4.75, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:02:50:30:10:20
4.625, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:04:59:30:10:20
4.625, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:07:09:30:10:20
4.562, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:09:20:30:10:20
4.562, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:11:30:30:10:20
4.562, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:13:40:30:10:20
4.562, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:15:50:30:10:20
4.562, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:18:00:30:10:20
4.562, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:20:10:30:10:20
4.5, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:22:20:30:10:20
4.375, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:24:30:30:10:20
4.375, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:26:40:30:10:20
4.437, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:28:51:30:10:20
4.437, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:31:00:30:10:20
4.437, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:33:10:30:10:20
4.437, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:35:20:30:10:20
4.437, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:37:31:30:10:20
4.437, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:39:41:30:10:20
4.437, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:41:51:30:10:20
4.5, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:44:01:30:10:20
4.562, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:46:11:30:10:20
4.562, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:48:21:30:10:20
4.562, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:50:31:30:10:20
4.5, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:52:41:30:10:20
4.5, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:54:51:30:10:20
4.437, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:57:02:30:10:20
4.437, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,05:59:12:30:10:20
4.562, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:01:21:30:10:20
4.625, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:03:31:30:10:20
4.625, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:05:41:30:10:20
4.625, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:07:52:30:10:20
4.562, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:10:02:30:10:20
4.437, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:12:12:30:10:20
4.375, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:14:22:30:10:20
4.375, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:16:32:30:10:20
